debators,order,party,speaker,line,response
biden-trump,1,republican,trump,63,"the country would have been left wide open, millions of people would have died, not 200,000. and one person is too much -- it's china's fault, it should have never happened. they stopped it from going in, but it was china's fault, by the way when you talk about numbers you know how many people died in japan. how many people died in russia. how many people died in india. they don’t exactly give you a straight count, just so you understand. but if you look at what we've done. i closed it and you said he's xenophobic, he's a racist and xenophobic because you didn't close in our country. you didn't think we should have closed our country because you thought it was too -- it was terrible. you wouldn't have closed it for another two months. by my doing it early -- in fact dr. fauci said president trump saved thousands of lives. many of your democrat governors said president trump did a phenomenal job. we worked with the governors. oh, really, go take a look. the governor said i did a phenomenal job, most of them said that they attract people that would not be necessarily on my side, said that president trump's a phenomenal job. we did. we got the gowns, we got the masks, we made the ventilators -- you wouldn't have made ventilators -- and now we're weeks away from a vaccine. we're doing therapeutics already, fewer people are dying when they get sick, far fewer people are dying. we've done a great job. the only thing i haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you a bad press on, it's just fake news. they give you good press, they give me bad press, because that's the way it is, unfortunately. i don't care. i've gotten used to it. but i'll tell you, joe, you could never have done the job that we did, you don't have it in your blood. you could have never done that yet. "
biden-trump,1,democrat,biden,64,i know how to do the job. i know how to get the job done. 
biden-trump,1,republican,trump,65,well you didn't do very well in swine flu. h1n1. a disaster. 
biden-trump,1,democrat,biden,66,"14,000 people died, not 200,000. there was no economic recession. we didn't shut down the economy. this is his economy, it's been shut down. the reason it’s shut down is because -- look you folks at home. how many of you got up this morning and had an empty chair at the kitchen table because someone died at covid. how many of you are in a situation where you lost your mom or dad and you couldn't even speak to the nurse holding the phone up so you could in fact say goodbye. by the way, his own cdc director says, we could lose as many as another 200,000 people between now and the end of the year, and he held up he said, if we just wear a mask we can save half those numbers -- just just a mask. and by the way, in terms of the, the whole notion of a vaccine. we prefer a a vaccine, but i don't trust him at all, and neither do you, i know you don't. what we trust is a scientist. "
biden-trump,1,republican,trump,67,"you don't trust johnson & johnson, pfizer?  "
biden-trump,1,moderator,wallace,68,"and let me, let me move on to questions about the future, because you both have touched on one of the -- two of the questions i'm going to ask. focusing on the future first, president trump, you have repeatedly either contradicted or been at odds with some of your government’s top scientists. the week before last, the head of the centers for disease control, dr. redfield, said it would be summer before the vaccine would become generally available to the public. you said that he was confused and mistaken. those are your two words. but dr. slaoui, the head of your operation warp speed, has said exactly the same thing. are they both wrong?"
biden-trump,1,republican,trump,69,"well i've spoken to the companies, and we can have it a lot sooner. it's a very political thing because people like this would rather make it political and save less. it is a very political thing i've spoken to pfizer, i've spoken to all of the people that you have to speak to -- we have great -- moderna, johnson and johnson, and others. they can go faster than that by lot. it can become very political, because the left or i don't know --"
biden-trump,1,moderator,wallace,70,"head of your operation warp speed, dr. slaoui --"
biden-trump,1,republican,trump,71,"i disagree with him. no, i disagree with both of them. and he didn't say that. he said it could be there but it could also be -- i had him in my office two days ago. "
biden-trump,1,moderator,wallace,72,"he talked about the summer, sir, before -- it's generally available -- . "
biden-trump,1,republican,trump,73,"he said it’s a possibility that we'll have the answer before november 1. it could also be after that. we're gonna deliver it right away. we have the military all set up -- logistically, they're all set up. we have our military that delivers soldiers, and they could do 200,000 a day. they're going to be --"
biden-trump,1,democrat,biden,74,this is the same man who told you--
biden-trump,1,republican,trump,75,it's all set up. 
biden-trump,1,democrat,biden,76,"he said this would be gone away. whether it'd be gone -- miraculously, like a miracle. by the way, maybe you could inject some bleach in your arm and that would take care of it. "
biden-trump,1,republican,trump,77,"that was said sarcastically, you know that. that was said sarcastically. "
biden-trump,1,democrat,biden,78," and so here's the deal. this man is talking about a vaccine. every serious, every serious company is talking about, maybe having the vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning or the middle of next year to get it out. if we get the vaccine. and pray to god we will. pray god we will. "
biden-trump,1,moderator,wallace,79,"mr. vice president, i want to pick up one of the -- pick up on this question though. you say the public can trust the scientists, but they can't trust president trump. in fact, you said that again tonight. your running mate, senator harris, goes further, saying that public health experts “will be muzzled, will be suppressed. given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate senator harris contributing to that fear?"
biden-trump,1,democrat,biden,80,"no more than the question you just asked. you pointed it out. he puts pressure and disagrees with his own scientists. well, no, no, you can trust the scientists. she didn’t say that."
biden-trump,1,moderator,wallace,81,"she said, the public experts, quote, “will be muzzled, will be suppressed.”"
biden-trump,1,republican,trump,82, she did say that. 
biden-trump,1,democrat,biden,83,"well, that's what he's going to try to do, but there's millions of scientists -- there's thousands of scientists out there, like here at this great hospital, that don't work for him. their job doesn't depend on him. that's not -- they’re the people, and by the way --"
biden-trump,1,republican,trump,84,i spoke to the scientists that are in charge. they will have the vaccine very soon. 
biden-trump,1,democrat,biden,85,"do you believe for a moment what he's telling you, in light of all the lies he’s told you about the whole issue of covid. he still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in february, and he didn't even tell you. he's on record saying that he panicked, or he just looked at the stock market -- one of the two -- because guess what: a lot of people died, and a lot more are going to die unless he gets a lot smarter."
biden-trump,1,republican,trump,86,"did you use the word smart? so you said you went to delaware state, but you forgot the name of your college. you didn't go to delaware state. you graduated, either the lowest or almost the lowest in your class. don't ever use the word smart with me, don't ever use that word. "
biden-trump,1,democrat,biden,87," oh, give me a break. "
biden-trump,1,republican,trump,88,"because you know what, there's nothing smart about you, joe. 47 years, you've done nothing. "
biden-trump,1,democrat,biden,89,"well, let's have this debate. you would’ve had --"
biden-trump,1,republican,trump,90,"let me just tell you something. if you would have had the charge of what i was put through -- i had to close the greatest economy in the history of our country. and by the way, now it's being built again -- "
biden-trump,1,moderator,wallace,91,"we’ll talk about the economy in the next segment, sir. "
biden-trump,1,republican,trump,92,it's going up fast --
biden-trump,1,moderator,wallace,93,"okay. when it comes to how the virus has been handled, so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward, by whichever of you ends up becoming the next president. i want to quickly go through several of those reopenings, vice president biden, you have been much more reluctant than president trump about reopening the economy and school. why, sir?"
biden-trump,1,democrat,biden,94,"because he doesn’t have a plan. if i were running, i’d know what the plan is. you've got to provide these businesses the ability to have the money to be able to reopen with a ppe, as well as with sanitation they need. you have to provide --"
biden-trump,1,republican,trump,95,tell that to nancy pelosi.
biden-trump,1,democrat,biden,96,will he just shush for a minute. 
biden-trump,1,republican,trump,97,tell it to nancy pelosi. and schumer.
biden-trump,1,democrat,biden,98,"nancy pelosi and schumer --  they have a plan. he won't even meet with them. the republicans won't  meet with them in the senate. but he sits in his golf course -- i mean, literally, think about it --"
biden-trump,1,republican,trump,99,"you probably play more than i do, joe."
biden-trump,1,moderator,wallace,100,"what about this question of reopenings, and the fact that --"
biden-trump,1,republican,trump,101,"well, he wants to shut down this country. and i want to keep it open. and we did great --"
biden-trump,1,democrat,biden,102,you need to shut it down --
biden-trump,1,republican,trump,103,"wait a minute. let me shut you down for a second, joe. just for one second."
biden-trump,1,republican,trump,104,"we want to -- he wants to shut down the country. we just went through it. we had to because we didn't know anything about the disease. now, we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. we learned a lot -- young children aren't, even younger people aren't. we've learned a lot. but he wants to shut it down. more people will be hurt by continuing -- if you look at pennsylvania, if you look at certain states that have been shut down -- they have democrat governors all. one of the reasons they’re shut down is because they want to keep it shut down until after the election. this is political."
biden-trump,1,moderator,wallace,105,i wonder what's --
biden-trump,1,republican,trump,106,"those states, those states are not doing well that are shut down. "
biden-trump,1,moderator,wallace,107,"gentlemen, we’re going to go on to another subject. you have begun to increasingly question the effectiveness of masks as a disease preventer, and in fact recently you have cited the, the issue of waiters touching their masks and touching plates. are you questioning the effectiveness of masks? "
biden-trump,1,republican,trump,108,"no, you have to understand -- if you look, i mean, i have a mask right here. i put the mask on it, you know what i think i need it. as an example, everybody's had a test, and you've had social distancing and all of the things that you have to, but i wear a mask, when needed -- when needed, i wear masks. i don't -- i don’t wear masks like him. every time you see him, he's got a mask. he could be speaking 200 feet away from me, and he shows up with the biggest mask i've ever seen. "
biden-trump,1,moderator,wallace,109,"vice president biden, go ahead, sir."
biden-trump,1,democrat,biden,110,"look, the way to open businesses is give them the wherewithal to be able to open. we provided money --"
biden-trump,1,moderator,wallace,111,"i was asking, sir, about masks. "
biden-trump,1,democrat,biden,112,"oh. masks -- masks make a big difference. his own head of the cdc said if we just wore masks between now -- if everybody wore masks and social distancing between now and january, we'd probably save up to 100,000 lives. it matters, "
biden-trump,1,republican,trump,113,and they've also said the opposite. they've also said the --
biden-trump,1,democrat,biden,114,no serious person has said the opposite --
biden-trump,1,republican,trump,115,what about dr. fauci? dr. fauci said the opposite. 
biden-trump,1,democrat,biden,116,he did not say the opposite. 
biden-trump,1,republican,trump,117,he said very strongly: masks are not good. then he changed his mind. he's admitted -- i’m ok with masks.
biden-trump,1,moderator,wallace,118,"i want to talk about one last subject, because your different approaches have even affected the way that you have campaigned. president trump, you're holding the large rallies, with crowds packed together thousands of people."
biden-trump,1,republican,trump,119,outside.
biden-trump,1,moderator,wallace,120,"outside. yes, sir. great. vice president biden, you are holding much smaller events with --"
biden-trump,1,republican,trump,121,cause nobody will show up.
biden-trump,1,moderator,wallace,122,.people with --
biden-trump,1,republican,trump,123,nobody shows up to his rallies.
biden-trump,1,moderator,wallace,124,"in any case, why you’re holding the big rallies, why you're not. you goes first, sir."
biden-trump,1,republican,trump,125,"because people want to hear what i have to say, i mean, 25, 35,000 people show up at airports. we use airports. "
biden-trump,1,moderator,wallace,126,"are you not worried about the disease, though, sir. "
biden-trump,1,republican,trump,127,"well, so far we have had no problem whatsoever. it's outside -- that's a big difference according to the experts. and we do them outside, we have tremendous crowds, as you see. i mean every -- and literally on 24 hours notice -- and joe does the circles and has three people some place."
biden-trump,1,democrat,biden,128,"by the way, did you see, one of the last reboot rallies he had -- a reporter came up to him to ask him a question, he said, ‘no no no. stand back. put on your mask, put on a mask. have you been tested? i'm way, way far away from those other people.’ that's what he said. i can't, i'm gonna be okay. he not worried about you. he's not worried about the people out there -- "
biden-trump,1,republican,trump,129,"we had no negative, no negative effect. we've had no negative effect, and we've had, 35 40,000, people at some of these rallies."
biden-trump,1,moderator,wallace,130,just finish off because i want to move on to our next --
biden-trump,1,democrat,biden,131,"yes, i would. he's been totally irresponsible the way in which he has handled the social distancing, and people wearing masks, basically encouraged them not to. and he's a fool on that. "
biden-trump,1,republican,trump,132,"if you could get the crowds, you would’ve done the same thing, but you can't -- nobody cares, nobody cares."
biden-trump,1,moderator,wallace,133,"gentlemen, can we move on to the economy. the economy is, i think it's fair to say, is recovering faster than expected from the shutdown much in the second quarter. the unemployment rate fell to 8.4% last month. the federal reserve says the hit to growth which is going to be there is not going to be nearly as big as they had expected. president trump, you say we are in a v shaped recovery. vice president biden you say it's more of a k shape. what difference does that mean to the american people in terms of the economy. president trump, in this segment, you go first. "
biden-trump,1,republican,trump,134,"so we built the greatest economy in history. we close it down because of the china plague, when the plague came in we closed it down, which was very hard, psychologically to do. he didn't think we should close it down, and he was wrong, again. to me it -- people would be dead now, instead of still 204,000 people is too much, one person is too much, should have never happened from china. but what happened is we've closed it down and now we're reopening, and we're doing record business. we had 10.4 million people in a four month period that we've put back into the workforce. that's a record the likes of which nobody's ever seen before, and he wants to close down the -- he will shut it down again. he will destroy this country, you know, a lot of people, between drugs and alcohol and depression, when you start shutting it down and you take a look at what's happening in some of your democrat run states where they have these tough shutdowns, and i'm telling you it's because they don't want to open it. one of them came out last week, you saw that, said they’ll open up november 9. why november 9? because it's after the election. they think they're hurting us by keeping them closed. they're hurting people. people know what to do. they can social distance, they can wash their hands, they can wear masks -- they can do whatever they want, but they can open these states up. when you look at north carolina, when you look at -- these governors are under siege in michigan and a couple of others. you gotta open the states up. it's not fair. you're talking about almost like being in prison. and you look at what's going on with divorce, look at what's going on with alcoholism and drugs. it's a very, very sad thing. and he'll close down the whole country, this guy will close down the whole country and destroy our country. our country is coming back incredibly well, setting records as it does it. we don't need somebody to come in and say let's shut it down. "
biden-trump,1,moderator,wallace,135,"alright, your two minute sir, we're now moved to you. as i, as i said posing the question, the president says it's a v shape recovery, you say it's a k shape recovery. what's the difference? "
biden-trump,1,democrat,biden,136,"the difference is millionaires and billionaires like him, in the middle of covid crisis, have done very well. the billionaires array have made another $300 billion. because of his profligate tax proposal and you only focus on the market. but you folks at home, you folks living in scranton and claymont -- all the small towns and working class towns in america. how well are you doing? this guy paid a total of $750 in taxes. "
biden-trump,1,moderator,wallace,137,"i understand. you've agreed to the two minutes, so please let him have them."
biden-trump,1,democrat,biden,138,"i get my time back? the fact is that he is in fact worked on this in a way that he's going to be the first president in the united states to leave office, i mean fewer jobs in his administration than when he became president. fewer jobs than when he became president. the first one in american history. secondly, the people who have lost their jobs are those people who have been on the front lines, those people who have been saving our lives, those people who have went out there dying, people who have been putting themselves in the way to make sure that we could all try to make it. the idea that he is consistent, that we go forward and open when you have almost half the states in america with a significant increase in covid desks and covid cases in the united states of america, and he wants to open it up more. why does he want to open it up? why doesn't he take care of the american -- you can't fix the economy until you fix the covid crisis, and he has no intention of doing anything about making it better for you all at home, in terms of your health and your safety. schools -- why aren't schools open? because it costs a lot of money to open them safely. you know, they were going to give his administration was going to give the teachers and school students masks. then they decided, no, couldn't do that, because it's not a national emergency, not a national emergency. they've done nothing to help small businesses, nothing. they're closing. one is six is now gone. he ought to get on the job, and take care of the needs of the american people, so we can open safely. "
biden-trump,1,moderator,wallace,139,"right. your time is up, sir. "
biden-trump,1,republican,trump,140,i need to respond to that. 
biden-trump,1,moderator,wallace,141,"well, you both have two minutes, sir. "
biden-trump,1,republican,trump,142,"excuse me. he made a statement. people want their schools, no, people want their schools open. they don't want to be shut down. they don't want their state shut down. they want their restaurants. i look at new york. it's so sad what's happening in new york, it's almost like a ghost town. and i'm not sure i can ever recover what they've done in new york. people want their places open. they want to get back to their lives. "
biden-trump,1,democrat,biden,143,they want to be safe. 
biden-trump,1,republican,trump,144,"they’ll be careful. but they want their schools -- i'm the one that brought back football, by the way, i brought it back big ten football. it was me, and i'm very happy to do it. people on all sides are very proud of me, and you don't want to --"
biden-trump,1,moderator,wallace,145,"gentlemen, we’re going to get to your economic plans going forward in a moment but first, mr. president, as you well know, there's a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax, each of those years. i know that you pay a lot of other taxes, but i'm asking you the specific question: is it true that you paid $750 in federal income taxes, each of those two years."
biden-trump,1,republican,trump,146,"i paid millions of dollars in taxes. millions of dollars of income tax. and let me just tell you, there was a story in one of the papers. i paid $38 million one year. i paid 27 million one year --"
biden-trump,1,democrat,biden,147,show us your tax returns.
